25q,75q,airport_code,checkin_date,checkout_date,count,max,mean,median,min,nights,std_dev
159.695,236.15,MAD,2017-02-14,2017-02-16,11,374.89,203.10272727272724,167.28,134.59,2,71.0144979692047
46.4425,72.10499999999998,NCE,2017-02-14,2017-02-15,20,78.41,60.44699999999999,64.09,37.39,1,13.593491902570994
108.7375,151.26,NCE,2017-02-14,2017-02-16,20,166.64,128.1455,136.45999999999998,74.77,2,30.067824816746
81.72,109.49,MAD,2017-02-15,2017-02-16,19,191.21,101.74315789473684,99.88,54.8,1,34.11619248207051
163.17749999999995,256.66,MAD,2017-02-15,2017-02-17,16,397.32,220.74125000000004,198.92,148.2,2,73.47831905852681
117.3625,151.26,NCE,2017-02-15,2017-02-17,20,166.64,131.446,137.525,74.77,2,26.426018359105658
81.88,116.62,MAD,2017-02-16,2017-02-17,20,157.96,101.614,93.025,74.21,1,24.38771701190236
163.865,201.84,MAD,2017-02-16,2017-02-18,19,595.97,211.892105263158,184.85,138.1,2,101.13356210581397
61.3525,74.5325,NCE,2017-02-16,2017-02-17,20,82.86,65.4695,72.24000000000002,37.18,1,14.103264450399232
121.5225,153.985,NCE,2017-02-16,2017-02-18,20,169.62,132.8255,137.29,74.21,2,28.867730021235605
78.505,93.305,MAD,2017-02-17,2017-02-18,16,157.54,88.76374999999999,82.655,65.29,1,21.524469757309546
174.22,222.14,MAD,2017-02-17,2017-02-19,17,648.03,232.57294117647058,205.56,132.79,2,124.82600474083445
55.66,74.0075,NCE,2017-02-17,2017-02-18,20,83.75,63.605500000000006,65.01,37.1,1,14.323002653075228
124.2275,167.6325,NCE,2017-02-17,2017-02-19,20,185.55,140.9125,140.62,74.01,2,32.44024804808145
85.16499999999998,114.985,MAD,2017-02-18,2017-02-19,15,136.39,104.17866666666669,103.51,75.6,1,19.61536237117176
168.9025,207.5975,MAD,2017-02-18,2017-02-20,14,361.34,201.26214285714286,192.425,133.46,2,57.86411750865077
63.175,86.17,NCE,2017-02-18,2017-02-19,20,100.44,72.21150000000002,70.445,37.01,1,17.507091578166715
126.87,170.32999999999996,NCE,2017-02-18,2017-02-20,20,192.43,147.16,146.95999999999995,74.01,2,30.857360121763662
73.27000000000002,101.765,MAD,2017-02-19,2017-02-20,19,157.54,92.62157894736843,83.53,63.44,1,27.40601743801652
159.015,200.89,MAD,2017-02-19,2017-02-21,15,293.93,188.49266666666665,177.62,132.16,2,47.409947188126594
58.945,73.215,NCE,2017-02-19,2017-02-20,20,82.47,64.268,64.31,37.01,1,12.708027135799265
114.98,148.2875,NCE,2017-02-19,2017-02-21,20,170.22,129.639,135.33,74.01,2,28.062727649996795
75.755,113.235,MAD,2017-02-20,2017-02-21,19,190.32,101.02631578947368,94.73,42.53,1,35.534333508520135
147.79,211.055,MAD,2017-02-20,2017-02-22,15,316.85,189.17933333333332,166.5,131.84,2,56.86528886847615
52.3225,70.1725,NCE,2017-02-20,2017-02-21,20,78.15,60.77200000000001,64.455,37.21,1,12.875043832321913
107.7875,149.595,NCE,2017-02-20,2017-02-22,20,167.99,128.3095,136.09,74.43,2,28.993096723730268
71.77,122.275,MAD,2017-02-21,2017-02-22,19,158.42,98.49473684210527,85.06,57.41,1,34.41811528322146
143.985,204.9425,MAD,2017-02-21,2017-02-23,16,316.85,182.751875,165.23000000000005,133.97,2,54.11058605223812
52.3225,74.43,NCE,2017-02-21,2017-02-22,20,82.93,63.16450000000001,68.05,37.21,1,14.653088582275071
112.97,149.915,NCE,2017-02-21,2017-02-23,20,167.99,130.6455,137.155,74.43,2,29.426663611693893
73.125,108.85,MAD,2017-02-22,2017-02-23,18,152.04,95.39555555555555,83.72999999999998,62.2,1,28.423851670575004
144.45,223.05,MAD,2017-02-22,2017-02-24,17,316.51,188.91352941176484,168.24,124.27,2,55.2307118980437
57.555,74.35,NCE,2017-02-22,2017-02-23,20,79.66,64.63,68.51,37.17,1,13.491616110131428
112.5725,150.71249999999995,NCE,2017-02-22,2017-02-24,20,165.87,130.36949999999996,137.155,74.43,2,28.889860627999983
71.69,98.1175,MAD,2017-02-23,2017-02-24,20,128.52,87.81550000000001,84.545,47.8,1,21.67454545750553
147.275,197.7625,MAD,2017-02-23,2017-02-25,18,316.42,176.36499999999995,168.825,126.14,2,43.43180865381014
52.8975,74.4975,NCE,2017-02-23,2017-02-24,20,83.48,63.871,67.63,36.98,1,14.631711379559698
115.2075,159.27,NCE,2017-02-23,2017-02-25,20,167.76,132.85700000000003,136.97,74.33,2,29.61799010558848
72.395,89.58,MAD,2017-02-24,2017-02-25,20,146.88,83.34899999999998,78.67,61.82,1,18.341706544031513
148.07,179.64,MAD,2017-02-24,2017-02-26,18,293.76,167.08444444444442,162.04500000000004,118.56,2,37.59273431399496
62.08,78.46,NCE,2017-02-24,2017-02-25,20,84.54,68.32600000000001,72.675,36.98,1,13.450242181345365
147.41,201.2975,NCE,2017-02-24,2017-02-26,20,236.91,168.7425,168.12,73.97,2,43.02710612906828
70.4425,97.5675,MAD,2017-02-25,2017-02-26,16,146.42,85.98,82.11,56.88,1,25.14362424154481
139.89,181.505,MAD,2017-02-25,2017-02-27,15,271.77,166.25799999999995,151.69,117.87,2,41.53165921490324
73.4125,102.465,NCE,2017-02-25,2017-02-26,20,118.31,86.0765,85.83000000000001,36.97,1,21.307009539734
135.21,170.7325,NCE,2017-02-25,2017-02-27,20,200.71,150.90449999999996,161.62,73.94,2,30.300454829832788
63.71,80.14250000000001,MAD,2017-02-26,2017-02-27,20,111.49,71.854,68.38,47.78,1,14.032505647133807
149.62,202.82,MAD,2017-02-26,2017-02-28,19,357.05,194.4763157894737,162.47,132.04,2,69.00864561057439
44.2625,74.07249999999998,NCE,2017-02-26,2017-02-27,20,83.45,61.25900000000002,62.85,36.97,1,15.236463500432114
88.52,146.3075,NCE,2017-02-26,2017-02-28,20,166.9,124.38500000000002,130.72,73.94,2,31.23544789599083
84.465,124.23,MAD,2017-02-27,2017-02-28,19,211.3,112.33842105263159,89.93,69.02,1,44.23311005509561
197.96,313.74,MAD,2017-02-27,2017-03-01,14,417.26,255.46857142857147,230.81,147.89,2,85.72328315414241
44.2625,73.94,NCE,2017-02-27,2017-02-28,20,83.45,61.668500000000016,63.77500000000001,36.97,1,15.179040353481893
95.6525,146.3075,NCE,2017-02-27,2017-03-01,20,164.79,122.3945,126.39,73.94,2,29.213831524954426
111.2625,184.06500000000003,MAD,2017-02-28,2017-03-01,16,290.5,151.49124999999995,135.215,81.23,1,58.333978991664885
179.1075,265.01,MAD,2017-02-28,2017-03-02,6,430.99,245.02166666666668,213.385,162.47,2,100.72145320966465
44.2625,73.94,NCE,2017-02-28,2017-03-01,20,80.71,61.77700000000001,65.89,36.97,1,15.021600272169481
111.1275,147.89,NCE,2017-02-28,2017-03-02,20,161.41,126.01249999999996,126.235,78.17,2,25.295524437713233
89.65,167.65,MAD,2017-03-01,2017-03-02,7,278.93,140.21285714285713,106.71,81.25,1,71.30820750196192
175.4925,259.8875,MAD,2017-03-01,2017-03-03,6,515.6,251.02,185.635,162.5,2,136.63429832951905
62.1625,75.005,NCE,2017-03-01,2017-03-02,20,82.94,67.12,73.30000000000003,41.21,1,12.628612041917474
123.62,159.27249999999995,NCE,2017-03-01,2017-03-03,20,178.03,137.954,146.865,82.41,2,29.62551894282325
89.995,162.95,MAD,2017-03-02,2017-03-03,15,210.57,129.23933333333332,116.39,81.37,1,42.630868672940785
167.07999999999996,258.71000000000004,MAD,2017-03-02,2017-03-04,15,338.77,210.102,188.56,152.37,2,55.70804727710864
62.26,80.285,NCE,2017-03-02,2017-03-03,20,92.32,70.67299999999999,74.335,41.27,1,15.22201940403579
126.45,165.5975,NCE,2017-03-02,2017-03-04,20,194.7,143.31799999999996,148.19,82.53,2,32.1863571294292
72.8975,90.67,MAD,2017-03-03,2017-03-04,20,101.71,82.39800000000002,83.35,57.69,1,11.475876116078412
144.6225,178.555,MAD,2017-03-03,2017-03-05,20,209.78,163.8385,164.545,122.8,2,25.033939756595288
66.105,83.3025,NCE,2017-03-03,2017-03-04,20,97.48,73.13399999999999,72.18,42.38,1,13.970811828877187
134.905,168.46,NCE,2017-03-03,2017-03-05,20,207.67,151.731,146.74,84.76,2,30.959860413802012
67.835,83.64,MAD,2017-03-04,2017-03-05,20,89.71,73.89000000000001,73.875,47.49,1,11.121956473097425
143.375,197.095,MAD,2017-03-04,2017-03-06,19,252.04,170.3178947368421,165.17,112.08,2,37.77404173046579
66.485,76.345,NCE,2017-03-04,2017-03-05,20,83.38,69.33049999999999,71.685,41.16,1,11.264478157371284
126.65,153.9525,NCE,2017-03-04,2017-03-06,20,181.53,138.862,143.16,82.32,2,26.058799221032906
68.42,94.735,MAD,2017-03-05,2017-03-06,20,131.58,83.52449999999997,80.74000000000002,42.11,1,23.893522679852623
150.53,207.895,MAD,2017-03-05,2017-03-07,19,415.79,189.42842105263162,177.16,89.47,2,70.84003076283588
63.16,74.20750000000002,NCE,2017-03-05,2017-03-06,20,80.42,67.22999999999999,68.66,41.05,1,10.93818227947164
132.635,161.315,NCE,2017-03-05,2017-03-07,20,181.05,143.10150000000004,149.74,82.11,2,26.853704297055263
80.45,105.395,MAD,2017-03-06,2017-03-07,20,135.79,93.9485,92.105,47.37,1,20.8492194161594
163.5825,264.08,MAD,2017-03-06,2017-03-08,18,340.38,210.0744444444444,192.79,94.74,2,67.43395454920163
62.8975,76.185,NCE,2017-03-06,2017-03-07,20,83.16,67.91650000000001,67.37,41.05,1,11.914783950158196
126.32,152.7675,NCE,2017-03-06,2017-03-08,20,169.26,136.99650000000003,140.0,82.11,2,24.803683146492162
80.95,118.42,MAD,2017-03-07,2017-03-08,17,177.9,100.84000000000002,88.58,47.37,1,34.09846349177629
163.37,215.53,MAD,2017-03-07,2017-03-09,15,355.79,198.542,185.26,94.74,2,64.24876688088484
61.9125,74.20750000000002,NCE,2017-03-07,2017-03-08,20,83.16,67.47450000000002,70.0,41.05,1,12.029801361181061
124.025,147.37,NCE,2017-03-07,2017-03-09,20,161.05,131.6645,134.74,82.11,2,22.640637306215105
81.775,139.745,MAD,2017-03-08,2017-03-09,19,255.05,115.68631578947368,95.64,57.39,1,50.80347103304899
165.3,229.275,MAD,2017-03-08,2017-03-10,15,371.17,208.73666666666668,187.04,142.4,2,69.04679020849005
62.50000000000001,74.92,NCE,2017-03-08,2017-03-09,20,83.95,68.119,70.67,41.45,1,12.144584194741206
126.99,154.225,NCE,2017-03-08,2017-03-10,20,170.03,139.0865,147.34,82.89,2,25.04924944247989
75.08749999999998,96.6025,MAD,2017-03-09,2017-03-10,20,115.56,86.8895,85.39500000000002,47.71,1,15.762457220610592
144.79000000000005,176.51,MAD,2017-03-09,2017-03-11,20,205.67,160.0335,162.625,95.41,2,24.93588985568265
63.145,74.74,NCE,2017-03-09,2017-03-10,20,83.75,67.85000000000001,73.495,41.35,1,12.613801964514904
135.515,163.52499999999995,NCE,2017-03-09,2017-03-11,20,171.53,142.00050000000005,147.36,82.69,2,27.500323342596694
64.51499999999999,79.34,MAD,2017-03-10,2017-03-11,20,84.63,71.633,72.575,47.61,1,9.130740501474301
128.85500000000002,162.0175,MAD,2017-03-10,2017-03-12,20,172.44,142.79850000000005,143.56,89.92,2,20.754104546482264
66.65,83.17999999999998,NCE,2017-03-10,2017-03-11,20,90.98,71.95100000000002,73.34,41.26,1,13.290651601783868
135.225,167.15,NCE,2017-03-10,2017-03-12,20,182.49,144.2875,144.935,82.52,2,28.90776782786028
67.1575,81.2275,MAD,2017-03-11,2017-03-12,20,85.53,72.19200000000002,70.47999999999998,42.24,1,10.709387716539071
131.72500000000002,162.085,MAD,2017-03-11,2017-03-13,20,193.69,144.0615,137.59,84.47,2,26.677217616101608
63.36,74.44,NCE,2017-03-11,2017-03-12,20,83.42,68.4505,71.725,41.18,1,11.229725813309305
137.45499999999998,161.16250000000005,NCE,2017-03-11,2017-03-13,20,171.06,146.88,147.46,95.03,2,18.71705076858222
63.0775,73.9,MAD,2017-03-12,2017-03-13,20,89.74,68.17,69.15,42.23,1,10.842314280049644
137.51250000000002,164.165,MAD,2017-03-12,2017-03-14,20,226.98,153.01100000000002,147.27,89.74,2,32.31018055301488
67.47749999999999,74.825,NCE,2017-03-12,2017-03-13,20,84.46,70.92550000000001,69.57,42.23,1,9.604758949275313
136.5275,168.125,NCE,2017-03-12,2017-03-14,20,181.58,147.92700000000005,147.8,89.74,2,24.092849801942226
73.9775,93.1625,MAD,2017-03-13,2017-03-14,20,125.63,83.1055,79.18,47.51,1,19.113152119610426
162.765,245.1925,MAD,2017-03-13,2017-03-15,18,370.52,207.07722222222225,200.955,105.57,2,65.69189338522636
63.34,76.0775,NCE,2017-03-13,2017-03-14,20,85.51,69.0045,72.84,41.17,1,13.24129285904316
126.69,169.4475,NCE,2017-03-13,2017-03-15,20,198.48,146.48899999999998,147.8,82.35,2,32.04317792571373
88.07000000000002,170.2325,MAD,2017-03-14,2017-03-15,18,252.32,131.60666666666668,128.8,58.06,1,54.41426834939527
180.0525,384.005,MAD,2017-03-14,2017-03-16,6,536.31,305.835,279.325,174.19,2,149.55071096454202
63.34,83.665,NCE,2017-03-14,2017-03-15,20,105.57,71.91499999999998,73.715,41.17,1,17.064682364771
134.70749999999998,173.405,NCE,2017-03-14,2017-03-16,20,213.26,154.225,147.8,82.35,2,36.29025409259714
116.135,192.495,MAD,2017-03-15,2017-03-16,6,208.24,155.3816666666667,154.315,106.79,1,44.91785276108673
192.485,418.605,MAD,2017-03-15,2017-03-17,6,459.18,305.17833333333334,288.3250000000001,172.67,2,130.66042513579492
70.7475,86.7675,NCE,2017-03-15,2017-03-16,20,106.79,76.1875,74.75,41.65,1,17.500697091379262
135.7,163.92,NCE,2017-03-15,2017-03-17,20,183.67,144.296,149.5,83.29,2,29.06119014478897
106.3925,179.4125,MAD,2017-03-16,2017-03-17,14,229.6,150.61357142857145,159.655,82.23,1,47.32670925957835
213.045,359.355,MAD,2017-03-16,2017-03-18,11,939.76,330.7609090909092,256.3,164.46,2,220.0540424284246
62.6125,85.395,NCE,2017-03-16,2017-03-17,20,96.94,73.21599999999998,77.15,41.5,1,17.103752866118686
136.5025,185.335,NCE,2017-03-16,2017-03-18,20,199.7,158.1085,170.32999999999996,83.3,2,37.26172740508049
90.45,140.0625,MAD,2017-03-17,2017-03-18,16,191.54,117.19125,101.09,47.88,1,41.48284093051808
175.57999999999996,258.57500000000005,MAD,2017-03-17,2017-03-19,15,289.62,212.73,204.95,134.32,2,53.649659698028714
70.5,88.4675,NCE,2017-03-17,2017-03-18,20,101.09,77.26399999999998,82.73,41.5,1,17.583664189121375
146.82,169.195,NCE,2017-03-17,2017-03-19,20,191.54,152.3535,156.95499999999996,83.0,2,32.76150007410013
63.85,74.49,NCE,2017-03-19,2017-03-20,20,79.81,67.2145,72.65,41.5,1,11.727026578311358
